Gender;Country;Country_other;Age;Family;Kids;SchoolLevel;work;LE1[SQ001];LE1[SQ002];LE1[SQ003];LE1[SQ004];LE2;LE3;LE4;LE5;LE6;B1;B2[SQ001];B2[SQ002];B2[SQ003];B2[SQ004];B2[SQ005];B2[SQ006];B3[SQ001];B3[SQ002];B3[SQ003];B3[SQ004];B3[SQ005];B4[SQ001];B4[SQ002];B4[SQ003];B4[SQ004];B4[SQ005];B4[SQ006];B4[SQ007];B4[SQ008];B5;B6;FU0
Femenino;España;;1981;vivo en pareja;3;Universitario;asalariado;6;6;5;5;Al final del curso;Si;350;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Importante;Muy importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Importante;Importante;Muy importante;Importante;Muy importante;Importancia moderada;Importancia moderada;Sí;Hemos planteado poner en marcha este gerano nuestro plan de acción final.;
Femenino;España;;1993;vivo con mis padres;0;Master;asalariado;Nada;Nada;Nada;4;Durante el curso;No tuve suficiente tiempo;2;Participado en la mayoría de las actividades de algunos módulos, he navegado y descargado los materiales;7;Totalmente de acuerdo;De poca importancia;Importante;Importante;De poca importancia;Importante;Importante;Neutral;Neutral;Neutral;Neutral;Neutral;Importante;De poca importancia;De poca importancia;Importante;Sin importancia;Sin importancia;Sin importancia;Importancia moderada;No;Nada;
Femenino;España;;1985;vivo con mis padres;0;Master;desempleado y en búsqueda de empleo;6;Completamente;6;6;Durante el curso;Si;30;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN EXPERTO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;De acuerdo;Muy importante;De poca importancia;Importante;Importancia moderada;Muy importante;Muy importante;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Importancia moderada;Importancia moderada;Sí;Me he unido a un grupo de voluntarios de limpieza de ríos y playas en mi ciudad. Además pienso encaminar mi carrera como ambientóloga hacia la problemática de la basura marina.;
Femenino;España;;1975;vivo en pareja;0;Estudios superiores;asalariado;Completamente;Completamente;Completamente;Completamente;Antes de comenzar el curso;Si, pero decidí invertir menos tiempo;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Muy importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Importante;Importante;Sí;ANIMAR AL ENTORNO QUE ME RODEA A COMBATIR LA BASURA MARINA, CON CONOCIMINTO DE CAUSA. SIN ARGUMENTOS O CONOCIMIENTO NO ES POSIBLE CONTAGIAR UNA IDEA. PROPONER A LA ADMINISTRACIÓN DE MI CIUDAD LA PROPUESTA DE LA TAREA EXPERTO.;UN FORMATO DE CURSO MUY ATRACTIVO Y FACIL DE ACOMETER PARA LA GENTE QUE NO DISPONE DE TIEMPO, POR TRABAJO. 
Femenino;España;;1976;vivo solo;0;Universitario;asalariado;3;3;3;3;Al comenzar el curso.;Si, pero decidí invertir menos tiempo;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Neutral;De poca importancia;Importancia moderada;Muy importante;Muy importante;Muy importante;Muy importante;En desacuerdo;En desacuerdo;En desacuerdo;Neutral;Neutral;Importancia moderada;Importancia moderada;Importancia moderada;De poca importancia;Importancia moderada;De poca importancia;De poca importancia;De poca importancia;Sí;-;-
Masculino;España;;1991;vivo con mis padres;2;Universitario;autónomo;5;6;6;5;Durante el curso;No tuve suficiente tiempo;15;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;De acuerdo;Muy importante;Importante;Importancia moderada;Importancia moderada;Muy importante;Muy importante;De acuerdo;De acuerdo;Neutral;Totalmente de acuerdo;De acuerdo;Muy importante;Importante;Importante;Importante;Importante;Importante;Importancia moderada;Importancia moderada;No;Mi proyecto empresarial de reutilización de plástico;La formación ha sido de mucha calidad y sobre un tema que nos afecta a todos, por lo cual de suma importancia. Felicidades!
Masculino;Colombia;;1988;Otro;1;Otro;Otro;Completamente;Completamente;Completamente;Completamente;Al final del curso;Si;3;Navegado y descargado los materiales educativos;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;CONCIENTISANDO Y MOTIVANDO  LAS PERSONAS DE QUE NO DEVEMOS DE AROJAR LOS RESIDUOS A LOS RÍOS PORQUE TODO ESO VA APARAR A EL MAR AFECTANDO GRAN PARTE DE LA FAUNA MARINA EN DONDE SE EMPIEZA A DETERIORAR EL ECOSISTEMA DEVIDO A LA MUERTE DE PESES Y OTRAS ESPECIES MARINAS DEVIDO A TANTA CONTAMINACIÓN QUE SE GENERA CON LOS RESIDUOS ;buenas dias como estan me gustaria poder formar parte de sus estudios y poder hacer mas cosas con ustedes y asi aprender mucho mucho mas de sus conocimientos y me gustaria que me tuvieran encuenta en todo lo que tenga que ver con el medio ambiente ya qeu yo me estoy formando en el area ambiental muchas gracias por darnos estos cursos son muy importantes para nosotros  mil gracias y feliz resto de dia 
Femenino;Perú;;1984;vivo con mis padres;0;Universitario;desempleado pero no en búsqueda activa de empleo;3;3;3;3;Durante el curso;Si, pero decidí invertir menos tiempo;2;Participado en la mayoría de las actividades de algunos módulos, he navegado y descargado los materiales;5;De acuerdo;Importante;Importante;Importante;Importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Muy importante;Muy importante;No;Difusion de la contaminacion sobre la basura marina en redes sociales;Para mi fue bueno, solo que trabajar en grupo fue dificil no consegui a nadie y por eso hice mis tareas sola, aunque el ultimo proyecto no lo presente porque decia GRUPAL y eso me parece obligado cuando hay gente que tiene amigos y/o colegas con los que ya trabaja
Femenino;Ecuador;;1991;vivo con mis padres;0;Estudios superiores;asalariado;2;2;2;2;Al comenzar el curso.;No tuve suficiente tiempo;1;Navegado el portal;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Importante;Importante;Importante;Importante;Muy importante;Muy importante;Sí;Reducir el consumo de plásticos ;
Femenino;Venezuela;;1979;vivo solo;0;Diplomado;asalariado;Completamente;Completamente;Completamente;Completamente;Durante el curso;No tuve suficiente tiempo;20;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;No;he promovido jornadas de limpiezas de desechos sólidos a orillas del río Neverí Barcelona Anzoátegui Venezuela;
Femenino;México;;1974;vivo solo;0;Universitario;autónomo;Completamente;Completamente;Completamente;Completamente;Al comenzar el curso.;Si;75;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Importancia moderada;Sin importancia;Sin importancia;Sí;Curso para maestros en escuelas de Mexico para que incluyan en su programa educativo el tema de la basura marina y de esa manera las nuevas generaciones crezcan con hábitos conscientes de consumo y desechos.;Muchas gracias por desarrollar este programa.
Femenino;Otro;Portugal;1981;vivo con mis padres;0;Universitario;desempleado y en búsqueda de empleo;Nada;Nada;4;2;Antes de comenzar el curso;No tuve suficiente tiempo;1;Navegado el portal;;Totalmente de acuerdo;Importancia moderada;Muy importante;Muy importante;Importancia moderada;Importancia moderada;Muy importante;Neutral;Neutral;Neutral;Neutral;De acuerdo;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;No;...;
