nombre;grupo;profesor;comunidad;genero;edad;edadmalumnos;materias;modalidad;movil;a;b;c;d;e;f;g;h;i;j;k;l;m;no;p;q;r;s;tu;v;w;x;y;z;aa;ab;ac;ad;ae;af;ag;ah;ai;aj;ak;al
58;Grupo 3;Secundaria;Andalucía;Hombre;32;18;Música, Tecnología, Informática, Matemáticas;Presencial;Sí;Sí;Sí;WORD, EXCEL, ACCESS, PACKET TRACER, ...;Sí, siempre;Sí, pero solo durante la jornada laboral y el periodo;4;4;4;3;3;3;2;2;2;2;2;4;4;3;3;3;4;4;2;2;4;4;4;4;3;4;4;4;El uso del móvil está prohibido al alumnado;Ministerio de Educación;15
59;Grupo 1;Secundaria;Andalucía;Hombre;30;14;Educación física;Presencial;Sí;Sí;Sí;Additio app, kahoot, estiramientos app, spotify;Sí, siempre;Sí, siempre;3;4;3;2;3;4;2;3;3;5;5;5;4;3;3;4;3;4;3;5;4;5;5;4;4;5;4;4;El móvil puede utilizarse en los descansos;Ministerio de Educación;13
60;Grupo 1;Otros;Aragón;Hombre;29;4;Matemáticas, Lengua y literatura, Idiomas, Educación plástica, Educación física, Otras ...;Presencial;Sí;Sí;Sí;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;3;4;5;3;5;5;4;5;3;5;3;5;5;4;4;4;4;5;5;5;3;4;3;5;5;4;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;15
61;Grupo 2;Primaria;Aragón;Mujer;23;4;Idiomas;Presencial;Sí;Sí;Sí;comunicación por whassap, videos de youtube.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;2;2;5;2;5;5;2;2;2;5;5;4;5;4;3;4;5;4;5;5;5;5;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;17
62;Grupo 1;Primaria;Galicia;Mujer;28;11;Música, Matemáticas, Lengua y literatura, Religión, Educación plástica;Presencial;Sí;No;No;Utilizo el ordenador con conexión a internet.;Sí, siempre;Sí, siempre;3;5;5;4;3;3;2;5;2;5;5;5;2;4;4;3;4;4;5;4;3;5;5;5;5;5;5;5;El móvil puede utilizarse en los descansos, El uso del móvil está prohibido al alumnado;Centro escolar;16
63;Grupo 2;Primaria;Aragón;Mujer;33;9;Matemáticas, Lengua y literatura, Geografía e historia, Educación plástica;Presencial;Sí;Sí;No;Sobretodo la aplicación de WhatsApp para comunicarnos aspectos importantes del CRA. Al estar formado por 4 escuelas diferentes, es la manera de estar todos comunicados, hablamos sobre actividades, talleres, fechas de claustros, excursiones, etc...;No;Sí, pero solo durante la jornada laboral y el periodo;4;4;5;4;5;5;1;3;1;5;3;5;4;5;2;1;4;4;3;4;5;1;1;3;4;4;4;4;El uso del móvil está prohibido al alumnado;Ministerio de Educación;13
64;Grupo 3;Primaria;Aragón;Mujer;28;5;Tecnología, Matemáticas, Lengua y literatura, Idiomas, Educación plástica, Educación física;Presencial;Sí;Sí;Sí;Tableta para realizar actividades de lectura con códigos QR. Móvil para contactar con otros compañeros y compartir archivos y documentos.;Sí, siempre;Sí, siempre;2;4;4;4;4;2;2;4;2;1;4;4;4;4;2;2;3;4;4;4;4;5;4;4;5;4;5;5;Otros ...;Centro escolar;15
65;Grupo 2;Primaria;Extremadura;Mujer;33;9;Matemáticas, Lengua y literatura, Educación plástica, Otras ...;Presencial;Sí;Sí;Sí;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;5;5;5;5;3;4;4;4;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;12
66;Grupo 2;Primaria;Extremadura;Mujer;28;10;Matemáticas, Lengua y literatura;Presencial;Sí;Sí;No;Fundamentalmente utilizo herramientas de mensajería (correo electrónico, Whatsap) para estar en contacto con otros compañeros y, desde el móvil, sólo herramientas de búsqueda de información (google) en algún caso concreto.;Sí, siempre;Sí, siempre;2;1;4;4;4;3;1;4;1;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;13
67;Grupo 2;Primaria;Castilla y León;Mujer;33;11;Matemáticas, Geografía e historia, Biología y geología;Presencial;Sí;Sí;No;Gmail, Drive, whatsApp, Google Calendar, etc..;No;No;1;1;3;1;3;3;1;2;1;2;2;5;5;5;5;3;4;3;3;3;3;3;2;3;3;3;3;3;El uso del móvil está prohibido al alumnado;Ministerio de Educación;14
68;Grupo 2;Primaria;Región de Murcia;Mujer;41;1;Matemáticas, Lengua y literatura;Presencial;Sí;Sí;Sí;Principalmente el móvil, para transmitir mensajes por medio de WhatssApp, lectura de QR y búsquedas en Internet.;No;Sí, pero solo durante la jornada laboral y el periodo;1;4;5;4;4;2;3;3;3;3;4;5;4;4;2;2;5;4;5;5;5;5;5;5;5;5;5;5;Otros ...;Profesor;8
69;Grupo 2;Secundaria;Andalucía;Mujer;32;14;Tecnología, Física y química, Biología y geología;Presencial;Sí;Sí;Sí;En el iPad utilizo la aplicación Idoceo como cuaderno del profesor. Utilizo el móvil para pasar faltas en Séneca en el momento, para que llegue a los padres un sms en caso de que los alumnos hayan faltado.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;2;4;4;3;4;3;3;3;3;3;3;4;5;4;2;2;5;5;5;5;5;2;2;4;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;12
70;Grupo 1;Primaria;Aragón;Mujer;44;11;Matemáticas, Lengua y literatura;Presencial;Sí;Sí;Sí;Class dojo, wassap;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;Otros ...;Centro escolar;14
71;Grupo 3;Secundaria;Andalucía;Mujer;41;14;Biología y geología;Presencial;Sí;No;No;;No;Sí, pero solo durante la jornada laboral y el periodo;2;4;4;2;4;4;2;2;2;2;2;4;4;3;2;4;3;4;4;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;12
72;Grupo 1;Secundaria;Andalucía;Mujer;34;1;Matemáticas;NA (No he ejercido como docente);Sí;NA (No he ejercido como docente);NA (No he ejercido como docente);;Sí, siempre;Sí, pero solo durante la jornada laboral y el periodo;2;1;5;4;4;5;2;3;2;4;4;5;5;3;2;3;3;4;3;4;3;4;4;5;4;5;5;5;Otros ...;Centro escolar;18
73;Grupo 3;Secundaria;Asturias;Hombre;44;13;Educación física;Presencial;Sí;No;No;Solamente portátiles. Generalmente para visualizar grabaciones realizadas en el gimnasio.;No;Sí, pero solo durante la jornada laboral y el periodo;5;2;5;5;3;3;3;3;3;3;3;4;5;4;2;2;3;4;5;5;5;5;4;4;3;4;4;4;El móvil puede utilizarse en los descansos;Comunidad autónoma;12
74;Grupo 2;Secundaria;Castilla La Mancha;Mujer;35;16;Lengua y literatura;Presencial;Sí;Sí;No;Buscar información, contestar en los foros, subir presentaciones, etc.;Sí, siempre;Sí, siempre;5;3;5;5;5;5;5;5;5;5;2;4;4;4;1;4;4;4;4;4;5;4;4;4;4;4;4;5;El móvil puede utilizarse en los descansos;Centro escolar;15
75;Grupo 2;Primaria;Andalucía;Mujer;31;6;Otras ...;Presencial;Sí;Sí;No;Utilizo el Whatsapp,  el correo electrónico y Dropbox, para agilizar y compartir información con el equipo docente y el resto de la comunidad educativa. Utilizo el correo electrónico y whatsapp para comunicarme con el resto de la comunidad educativa.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;2;4;3;2;4;2;2;3;2;4;4;5;5;4;4;3;4;4;3;4;5;3;3;4;4;3;3;3;El uso del móvil está prohibido al alumnado;Centro escolar;14
76;Grupo 1;Otros;Extremadura;Mujer;32;30;Informática, Matemáticas, Lengua y literatura, Geografía e historia, Idiomas, Física y química, Biología y geología;Presencial;Sí;Sí;Sí;Para contactar con alumnos y para presentaciones del temario;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;3;5;3;4;3;3;3;3;2;4;3;5;4;4;2;3;4;5;2;5;5;5;4;5;5;5;5;5;El móvil puede utilizarse en todo momento;Ministerio de Educación;15
77;Grupo 3;Primaria;Extremadura;Mujer;29;8;Música, Matemáticas, Otras ...;Presencial;Sí;No;No;Ninguna, sólo utilizo internet y la pizarra digital;No;Sí, pero solo durante la jornada laboral y el periodo;4;4;5;3;4;4;3;5;3;5;4;4;2;1;1;2;4;5;5;5;3;4;4;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Ministerio de Educación;12
78;Grupo 3;Secundaria;Andalucía;Mujer;26;17;Otras ...;Presencial;Sí;Sí;Sí;iSéneca, Kahoot, aplicaciones de office... ;No;Sí, siempre;3;4;2;5;3;3;2;3;1;3;3;5;4;3;2;3;3;5;5;5;5;5;5;5;5;5;5;5;Otros ...;Centro escolar;16
79;Grupo 3;Primaria;Comunidad Valenciana;Mujer;29;11;Matemáticas, Lengua y literatura, Idiomas, Educación plástica;Presencial;Sí;Sí;Sí;No utilizo ninguna herramienta móvil.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;1;4;1;4;4;1;4;1;4;4;4;4;3;3;4;4;4;4;4;3;4;2;4;4;2;4;2;El uso del móvil está prohibido al alumnado;Ministerio de Educación;16
80;Grupo 1;Primaria;Galicia;Mujer;31;1;Matemáticas, Idiomas;Presencial;Sí;NA (No he ejercido como docente);NA (No he ejercido como docente);No he ejercido como profesor. Tan solo prácticas donde no se permitian estos dispositivos;No;Sí, siempre;4;4;5;3;3;3;4;3;3;5;5;5;5;3;2;4;4;5;5;5;4;4;4;4;5;5;5;4;Otros ...;Centro escolar;15
81;Grupo 1;Primaria;Aragón;Mujer;28;8;Educación física, Otras ...;Presencial;Sí;Sí;Sí;"Sobretodo utilizo la tableta. El principal uso es organizativo.
Los recursos de mi centro en materia tecnológica son algo escasos. La tableta es personal pero intento que mis alumnos también lo utilicen en la medida de lo posible a través de diferentes aplicaciones. Ya no lo ven como algo raro, si no como algo totalmente normalizado.";No;Sí, pero solo durante la jornada laboral y el periodo;4;2;5;4;5;4;4;4;4;5;4;4;2;2;4;5;5;5;4;4;5;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;12
82;Grupo 2;Primaria;Región de Murcia;Mujer;26;12;Matemáticas, Geografía e historia, Idiomas;Presencial;Sí;Sí;Sí;"calendario
correo electrónico
whatsapp
Aplicaciones de ingles, como el traductor, duolingo.";Sí, siempre;Sí, siempre;3;4;4;4;5;3;3;5;3;5;3;4;4;4;3;4;3;4;4;4;3;4;4;4;5;4;3;3;El móvil puede utilizarse en los descansos;Centro escolar;12
83;Grupo 1;Secundaria;Asturias;Mujer;37;14;Geografía e historia, Otras ...;Presencial;Sí;Sí;Sí;WORD, CORREO ELECTRONICO, BLOGS, SLIDESHARE;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;2;5;3;2;2;5;2;2;2;5;5;4;4;4;2;2;4;4;4;4;4;4;4;4;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;14
84;Grupo 1;Secundaria;Andalucía;Mujer;26;14;Lengua y literatura, Idiomas;Presencial;Sí;Sí;Sí;"Ipad: cuaderno del profesor; ordenador portátil: elaboración de actividades, control del alumnado, etc.";No;Sí, pero solo durante la jornada laboral y el periodo;4;2;4;4;2;2;4;4;2;4;4;5;5;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;14
85;Grupo 1;Primaria;Galicia;Mujer;27;4;Otras ...;Presencial;Sí;No;No;pdi;No;Sí, pero solo durante la jornada laboral y el periodo;1;1;1;4;4;1;1;1;1;4;4;4;4;4;3;3;3;4;4;3;3;2;2;4;5;3;4;4;Otros ...;Centro escolar;16
86;Grupo 2;Primaria;Comunidad Valenciana;Mujer;29;6;Idiomas;Presencial;Sí;No;No;;No;Sí, pero solo durante la jornada laboral y el periodo;1;1;4;1;1;1;1;1;1;4;1;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Ministerio de Educación;18
87;Grupo 3;Primaria;Galicia;Mujer;28;10;Matemáticas, Lengua y literatura, Geografía e historia, Idiomas, Biología y geología;Presencial;Sí;No;No;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;3;5;1;1;1;1;1;1;5;1;5;3;3;1;5;3;5;5;5;5;5;5;5;5;5;5;5;Otros ...;NS / NC;12
88;Grupo 2;Secundaria;Comunidad Valenciana;Mujer;30;15;Biología y geología;Presencial;Sí;Sí;No;Google Calendar, google docs, socrative, educalab y otras aplicaciones relacionadas con la asignatura;No;Sí, pero solo durante la jornada laboral y el periodo;3;2;4;5;3;4;2;3;2;4;4;5;5;4;4;5;4;4;2;2;3;2;2;3;4;5;5;5;Otros ...;Ministerio de Educación;15
89;Grupo 3;Primaria;Región de Murcia;Hombre;27;8;Música;Presencial;Sí;No;No;Ninguna;Sí, siempre;Sí, siempre;2;1;4;5;4;3;5;5;3;5;5;4;4;2;2;4;4;4;3;4;4;4;5;5;5;4;4;4;El uso del móvil está prohibido al alumnado;Profesor;14
90;Grupo 3;Secundaria;Andalucía;Mujer;34;25;Otras ...;Presencial, Online;Sí;Sí;Sí;Utilizo mi smartphone sobretodo con la aplicación Séneca tanto para el control diario de asistencia del alumnado a clase,  para evaluar su progreso día a día y para las evaluaciones. Además utilizo algunas aplicaciones en tablet o móvil para el diseño de actividades TIC: Aurasma (realidad aumentada), presentaciones Prezi, vídeos Powtoon, etc.;Sí, siempre;Sí, siempre;4;1;5;4;5;4;3;3;1;4;3;5;5;4;3;4;4;5;4;5;5;3;4;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Ministerio de Educación;16
91;Grupo 1;Secundaria;Comunidad Valenciana;Hombre;32;15;Educación física;Presencial;Sí;Sí;Sí;Whatsapp para comunicarme con el resto de docentes y Idoceo en la tablet como cuaderno del profesor.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;5;5;5;5;5;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado, El uso del móvil está prohibido al profesorado;Profesor;13
92;Grupo 1;Secundaria;Comunidad de Madrid;Hombre;31;15;Matemáticas, Física y química, Biología y geología, Otras ...;Presencial;Sí;No;No;;No;Sí, siempre;1;1;3;2;4;4;3;3;3;4;4;5;4;4;2;4;5;4;4;4;5;5;3;4;4;4;5;4;El uso del móvil está prohibido al alumnado;Ministerio de Educación;16
93;Grupo 2;Primaria;Extremadura;Hombre;24;1;Música, Matemáticas, Lengua y literatura, Geografía e historia, Educación física;Presencial;Sí;No;No;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;2;2;4;2;4;4;2;2;2;3;3;4;4;3;2;3;4;4;4;4;3;4;4;4;3;4;4;4;El uso del móvil está prohibido al alumnado, El uso del móvil está prohibido al profesorado;Ministerio de Educación;18
94;Grupo 2;Primaria;Aragón;Mujer;28;10;Matemáticas, Lengua y literatura, Idiomas;Presencial;Sí;No;No;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;4;2;5;5;5;3;4;4;4;5;5;5;4;5;4;5;4;5;5;5;4;4;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado, Otros ...;Comunidad autónoma;15
95;Grupo 3;Secundaria;Andalucía;Mujer;34;16;Biología y geología;Presencial, Mixta;Sí;Sí;No;iSéneca para pasar lista de asistencía y justificar faltas de mi tutoría, whatsapp para comunicarme con los alumnos de segundo de bachillerato, pasarles actividades (solo en 2 de bachillerato porque los conozco, son responsables y se que no van a utilizar mi número personal para otros fines), kahoot para realizar concursos y repasar contenidos;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;4;4;3;4;3;3;3;3;3;3;5;4;5;4;2;2;3;4;4;4;5;5;3;5;3;4;5;El uso del móvil está prohibido al alumnado;Centro escolar;16
96;Grupo 3;Primaria;Extremadura;Mujer;32;11;Matemáticas, Lengua y literatura, Educación plástica, Otras ...;Presencial;Sí;Sí;Sí;"móvil y tablets para conectar con la pizarra digital y explicar los contenidos, actividades, juegos que preparo en casa.
A traves del móvil me conecto a classdojo para asignar los puntos tantos positivos como negativos que se merecen en función de lo que trabajan o no y de su comportamiento.
Mediante las tablets los alumnos se conectan a páginas para realizar actividades virtuales y juegos.";No;Sí, siempre;4;4;5;4;5;5;4;5;4;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Profesor;16
97;Grupo 1;Secundaria;Aragón;Mujer;30;15;Matemáticas, Lengua y literatura;Presencial;Sí;Sí;No;"Class Dojo, para motivar a los alumnos y llevar a cabo un sistema de recompensa mediante puntos.
Visual Timer, reloj de cuenta atrás para que los alumnos vean cuánto falta para terminar la actividad.
AraWord, en alumnos con autismo o dificultades de comunicación para poder realizar una comunicación adecuada y adaptada a sus necesidades.
Kahoot, para realizar tests y ejercicios de evaluación.";Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;1;4;4;5;3;4;4;1;4;4;5;2;3;2;4;5;4;4;4;4;4;4;4;4;4;4;4;El móvil puede utilizarse en los descansos;Centro escolar;15
98;Grupo 1;Secundaria;Asturias;Mujer;38;13;Otras ...;Presencial, Online;Sí;No;No;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;4;5;5;4;3;3;3;4;4;3;5;5;5;5;4;4;4;5;4;5;3;3;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Comunidad autónoma;15
99;Grupo 2;Primaria;Aragón;Mujer;27;11;Matemáticas, Lengua y literatura, Idiomas, Educación plástica, Otras ...;Presencial;Sí;Sí;Sí;"Considero muy interesante aprovechar el uso de los dispositivos móviles entre alumnado con uso adecuado y supervisado por los padres o profesores para poder compartir información, organizar tareas y comunicarse con sus compañeros para potenciar experiencias de m-learning en nuestras aulas. No siempre, pero en varias ocasiones, se le pide a los alumnos bajo la autorización del centro educativo que traigan sus móviles  o de algún otro familiar al aula.

- Slideshare es un servicio web disponible también para dispositivos móvil que permite compartir presentaciones de PowerPoint. Wassap es una aplicación muy utilizado actualmente para comunicarse.
- Socrative es una aplicación que genera actividades para todo tipo de móviles con el objetivo de involucrar activamente al alumnado en clase para fomentar la motivación y participación de los alumnos en su aprendizaje.

";Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;4;4;3;3;4;3;4;2;2;2;3;3;4;3;3;4;4;4;4;4;3;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;10
100;Grupo 2;Secundaria;Ciudad autónoma de Melilla;Mujer;28;15;Lengua y literatura, Idiomas;Presencial;Sí;Sí;Sí;Diccionarios y blogs;Sí, pero solo durante la jornada laboral y el periodo lectivo;No;4;3;5;5;4;4;2;2;2;4;2;5;4;3;2;5;5;5;5;4;3;5;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Profesor;15
101;Grupo 2;Primaria;Región de Murcia;Mujer;29;10;Matemáticas, Lengua y literatura, Geografía e historia, Idiomas, Educación plástica, Biología y geología;Presencial;Sí;Sí;Sí;Pizarra digital, aula de informática , rincones en El aula con accesos a internet , etc;No;Sí, pero solo durante la jornada laboral y el periodo;2;1;1;2;3;1;1;1;1;3;3;5;4;4;5;3;3;4;4;3;3;4;4;3;3;3;4;3;El uso del móvil está prohibido al alumnado;Centro escolar;16
102;Grupo 1;Secundaria;Comunidad Valenciana;Hombre;39;15;Tecnología, Informática, Matemáticas, Física y química;Presencial;Sí;Sí;No;"Whatsapp: Comunicación síncrona entre compañeros del departamento.
Chrome: Búsqueda de información e imágenes de interés.
Youtube: Aprender con videotutoriales de procesos tecnológicos,...
Gmail: Comunicación asíncrona entre tutores y cargos directivos del centro.
Calculadora: Cálculos básicos (notas, medias, otras...)
Calendario y Agenda: Anotaciones de entregas de trabajos, exámenes
Itaca: Aplicación web de consellería de educación para pasar lista de alumnado, comunicar incidencias a las famílias, introducir calificaciones, listín telefónico de alumnado,...
Juegos didácticos: Para gamificar los contenidos de la asignatura (novedad)";Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;2;5;5;5;4;3;3;1;3;3;2;4;2;1;2;4;4;5;3;2;5;5;3;4;4;5;5;El móvil puede utilizarse en todo momento;Centro escolar;12
103;Grupo 3;Primaria;Fuera de España;Mujer;29;7;Matemáticas, Lengua y literatura, Geografía e historia, Otras ...;Presencial;Sí;No;No;"Son niños de siete años, por lo tanto para trabajar con las aplicaciones en los iPads se requiere de bastante tutorización e introducción. 
Utilizo Story robots para la práctica de distintos temas de matemáticas, juegos, operaciones, problemas, etc.
Para la lectura y escritura utilizo la aplicación del Raz Kids, es una licencia Americana para incrementar el nivel de lectura comprensiva, pronunciación, atención, etc. También aplicaciones para los sonidos de fonogramas. (El colegio es de inmersión total al inglés, por lo tanto todas las materias las imparto en ese idioma.)
Utilizo edmodo para evaluaciones y trabajo cooperativo en clases. 
Trabajo con Class dojo para la comunicación con padres de familia sobre temas más informales que el correo electrónico. Eventos próximos en el Colegio. Comparto fotos y trabajo el comportamiento a través de un avatar que cada estudiante crea. ";Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;3;4;5;5;5;4;2;3;3;5;5;5;5;5;3;5;5;5;4;4;5;2;4;5;5;5;4;4;El uso del móvil está prohibido al alumnado, El uso del móvil está prohibido al profesorado;Centro escolar;14
104;Grupo 3;Otros;Región de Murcia;Mujer;24;;Otras ...;Presencial;Sí;NA (No he ejercido como docente);No;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;3;2;4;3;4;3;2;3;2;4;3;4;3;3;4;1;1;4;5;5;4;5;4;5;5;5;5;5;Otros ...;Centro escolar;16
105;Grupo 1;Primaria;Aragón;Mujer;32;4;Matemáticas, Lengua y literatura;Presencial;Sí;Sí;No;Google drive para compartir documentos con los compañeros, calendario para planificar reuniones, cursos, claustros...;No;Sí, siempre;2;3;3;2;4;3;2;4;2;3;2;4;3;3;3;4;5;4;4;3;3;3;3;3;4;4;4;3;El uso del móvil está prohibido al alumnado;Profesor;12
106;Grupo 2;Otros;Comunidad Valenciana;Mujer;25;4;Idiomas, Educación plástica, Educación física, Otras ...;Presencial;Sí;Sí;Sí;Correo electrónico, aplicaciones destinadas a alguna actividad determinada. ;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;1;5;5;3;5;3;1;1;1;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;El móvil puede utilizarse en todo momento;Centro escolar;15
107;Grupo 3;Primaria;Aragón;Mujer;31;4;Matemáticas, Lengua y literatura, Educación plástica, Educación física, Otras ...;Presencial;Sí;Sí;Sí;Como maestra tutora de un aula de infantil, uso el móvil como herramienta en el uso de alguna aplicaciones como realidad aumentada y códigos QR.  También en todo lo que tiene que ver con lo audiovisual, vídeos, fotos. En la comunicación con las familias a través del correo electrónico.  Y en la gestión del blog del centro educativo para el que trabajo.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;5;5;5;5;5;5;5;3;3;5;3;4;4;2;2;4;4;5;5;5;4;4;5;5;5;5;5;5;Otros ...;Centro escolar;10
108;Grupo 3;Primaria;Aragón;Mujer;57;10;Música, Lengua y literatura, Geografía e historia;Presencial;Sí;Sí;Sí;Idoceo= Control alumnos, notas, observaciones, padlet=Tableros cooperativos, presentación tema, drive= para todo, go conqr= Creación de mapas, explicaciones, esquemas, fichas para vocabulario, Edmodo= comunicación, compartir videos, encuestas, controles, etc., Plickers= evaluación, Zip grade= evaluación...y muchas más;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;2;4;4;3;3;3;3;3;4;3;4;2;3;3;5;5;5;4;5;3;4;5;5;4;5;5;5;El uso del móvil está prohibido al alumnado;Ministerio de Educación;15
109;Grupo 3;Formación profesional;Andalucía;Hombre;37;17;Informática;Presencial;Sí;Sí;Sí;Son muchas: Idoceo, iSeneca, mindmeister, touchcast, spreaker....;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;1;5;5;3;1;4;1;1;3;3;4;2;1;2;2;5;5;5;3;4;5;5;5;5;3;5;5;Otros ...;Centro escolar;14
110;Grupo 3;Primaria;Comunidad Valenciana;Mujer;37;10;Matemáticas, Lengua y literatura, Educación plástica, Educación física, Otras ...;Presencial;Sí;Sí;Sí;"iDoceo y sus complementos para la gestión de aula.
Nearpod para crear las lecciones
Classroom para compartir los recursos con mi alumnado, asignar tareas, crear notas...
Socrative para realizar concursos por equipos
Kahoot! para saber sus conocimientos previos a cerca de una temática y para ""repasar"" antes de un examen.
Explain Everything para genera videos (por parte de los alumnos) con los contenidos a trabajar.
YouTube para colgar los vídeos que ellos crean cada semana contando el libro que se hayan leído -Booktubers-
Classcraft para gamificar el aula
iMovie para editar los vídeos que ellos me envían
ScrachJr para introducir la programación en el aula
Pic Collage para crear murales temáticos o portadas de trabajos
EDpuzzle para introducir vídeos explicativos de determinados contenidos y comprobar el grado de adquisición de los mismos
Google Drive para compartir archivos digitales
Google Fortos para compartir vídeos 
Pinterest para buscar recursos
Evernote para almacenar recursos y gestionar contenidos
Pocket para gestionar contenidos ""de forma temporal""
Edubook para acceder a los libros de texto digitales";No;Sí, pero solo durante la jornada laboral y el periodo;1;1;1;1;1;1;1;1;1;1;1;2;4;4;1;4;1;5;5;5;4;4;3;5;5;5;5;5;El móvil puede utilizarse en todo momento, Otros ...;Centro escolar;14
111;Grupo 3;Primaria;Aragón;Hombre;31;10;Matemáticas, Lengua y literatura, Idiomas, Educación plástica, Educación física;Presencial;Sí;Sí;No;Kahoot. Lo utilizo al final de cada tema para realizar el repaso final de manera lúdica con mis alumnos;No;Sí, pero solo durante la jornada laboral y el periodo;1;1;4;4;4;1;1;1;1;1;1;4;3;5;3;2;4;4;5;3;4;5;4;4;4;5;4;5;El uso del móvil está prohibido al alumnado;Ministerio de Educación;14
112;Grupo 1;Otros;Castilla La Mancha;Hombre;40;30;Educación física;Presencial, Online;Sí;Sí;Sí;Presentaciones online, Google drive... para compartir doc y presentar el temario.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;3;4;4;3;4;3;4;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;El móvil puede utilizarse en todo momento;Centro escolar;12
113;Grupo 1;Secundaria;Comunidad Valenciana;Hombre;32;20;Educación física;Presencial;Sí;Sí;Sí;móvil, tableta electrónica y ordenador.;Sí, siempre;Sí, siempre;2;4;5;3;4;4;2;3;1;3;3;5;5;5;2;4;4;5;5;5;4;5;5;5;5;5;5;4;El móvil puede utilizarse en los descansos;Ministerio de Educación;16
114;Grupo 3;Otros;Castilla La Mancha;Mujer;36;4;Otras ...;Presencial;Sí;Sí;No;La agenda, para anotar fechas importantes, como excursiones o reuniones con padres o compañeros y el whatsapp para comunicarme con los compañeros en horario no lectivo.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;1;3;1;1;1;1;1;1;4;1;4;5;5;1;2;3;4;4;4;5;4;4;5;4;5;4;4;Otros ...;Centro escolar;15
